bodyMass,mu,sigma,nu
166.7,312.0779478,0.088297778,3.199011331
166.8,312.2151573,0.088281962,3.199426059
166.9,312.3524272,0.088266148,3.199840538
167.0,312.4897574,0.088250337,3.200254769
167.1,312.627148,0.088234529,3.200668752
167.2,312.764599,0.088218724,3.201082487
167.3,312.9021104,0.088202922,3.201495975
167.4,313.0396823,0.088187123,3.201909216
167.5,313.1773147,0.088171326,3.20232221
167.6,313.3150075,0.088155532,3.202734958
167.7,313.452761,0.088139741,3.203147459
167.8,313.590575,0.088123953,3.203559714
167.9,313.7284495,0.088108168,3.203971724
168.0,313.8663847,0.088092386,3.204383489
168.1,314.0043806,0.088076606,3.204795008
168.2,314.1424371,0.088060829,3.205206283
168.3,314.2805543,0.088045055,3.205617314
168.4,314.4187322,0.088029284,3.2060281
168.5,314.5569709,0.088013516,3.206438642
168.6,314.6952704,0.08799775,3.206848941
168.7,314.8336307,0.087981988,3.207258996
168.8,314.9720518,0.087966228,3.207668809
168.9,315.1105337,0.087950471,3.208078379
169.0,315.2490766,0.087934717,3.208487706
169.1,315.3876804,0.087918965,3.208896791
169.2,315.5263451,0.087903217,3.209305634
169.3,315.6650707,0.087887471,3.209714236
169.4,315.8038574,0.087871728,3.210122597
169.5,315.9427051,0.087855988,3.210530716
169.6,316.0816138,0.087840251,3.210938595
169.7,316.2205836,0.087824516,3.211346234
169.8,316.3596145,0.087808784,3.211753632
169.9,316.4987065,0.087793056,3.21216079
170.0,316.6378597,0.08777733,3.212567709
170.1,316.7770741,0.087761606,3.212974389
170.2,316.9163496,0.087745886,3.213380829
170.3,317.0556864,0.087730169,3.213787031
170.4,317.1950845,0.087714454,3.214192994
170.5,317.3345438,0.087698742,3.214598719
170.6,317.4740645,0.087683033,3.215004207
170.7,317.6136465,0.087667326,3.215409456
170.8,317.7532899,0.087651623,3.215814469
170.9,317.8929947,0.087635922,3.216219244
171.0,318.0327609,0.087620224,3.216623782
171.1,318.1725885,0.087604529,3.217028084
171.2,318.3124777,0.087588837,3.21743215
171.3,318.4524283,0.087573148,3.21783598
171.4,318.5924404,0.087557461,3.218239574
171.5,318.7325142,0.087541777,3.218642933
171.6,318.8726495,0.087526096,3.219046056
171.7,319.0128464,0.087510418,3.219448945
171.8,319.1531049,0.087494743,3.219851599
171.9,319.2934252,0.08747907,3.220254019
172.0,319.4338071,0.0874634,3.220656205
172.1,319.5742507,0.087447734,3.221058157
172.2,319.7147561,0.087432069,3.221459876
172.3,319.8553233,0.087416408,3.221861361
172.4,319.9959522,0.08740075,3.222262614
172.5,320.136643,0.087385094,3.222663633
172.6,320.2773957,0.087369441,3.223064421
172.7,320.4182102,0.087353791,3.223464976
172.8,320.5590867,0.087338143,3.223865299
172.9,320.7000251,0.087322499,3.224265391
173.0,320.8410254,0.087306857,3.224665251
173.1,320.9820877,0.087291218,3.225064881
173.2,321.1232121,0.087275582,3.225464279
