bodyMass,mu,sigma,nu
74.6,322.8398444,0.076071514,6.126848487
74.7,323.0521686,0.076077904,6.121197545
74.8,323.2630464,0.076084295,6.115554163
74.9,323.4725026,0.076090687,6.109918321
75.0,323.6805622,0.076097079,6.104289998
75.1,323.8872503,0.076103472,6.098669175
75.2,324.0925919,0.076109865,6.093055831
75.3,324.2966123,0.076116259,6.087449947
75.4,324.4993368,0.076122653,6.081851502
75.5,324.7007908,0.076129048,6.076260478
75.6,324.9009998,0.076135444,6.070676854
75.7,325.0999893,0.07614184,6.065100611
75.8,325.297785,0.076148236,6.059531729
75.9,325.4944126,0.076154633,6.053970189
76.0,325.689898,0.076161031,6.048415972
76.1,325.884267,0.076167429,6.042869058
76.2,326.0775455,0.076173828,6.037329429
76.3,326.2697597,0.076180227,6.031797064
76.4,326.4609356,0.076186627,6.026271946
76.5,326.6510995,0.076193028,6.020754054
76.6,326.8402775,0.076199429,6.015243371
76.7,327.0284962,0.07620583,6.009739878
76.8,327.2157818,0.076212232,6.004243555
76.9,327.4021609,0.076218635,5.998754384
77.0,327.58766,0.076225038,5.993272346
77.1,327.7723058,0.076231442,5.987797423
77.2,327.956125,0.076237846,5.982329597
77.3,328.1391444,0.076244251,5.976868849
77.4,328.3213907,0.076250656,5.971415161
77.5,328.502891,0.076257062,5.965968514
77.6,328.6836721,0.076263469,5.960528891
77.7,328.8637612,0.076269876,5.955096273
77.8,329.0431854,0.076276284,5.949670642
77.9,329.2219717,0.076282692,5.944251981
78.0,329.4001476,0.076289101,5.938840271
78.1,329.5777403,0.07629551,5.933435494
78.2,329.7547771,0.07630192,5.928037634
78.3,329.9312855,0.07630833,5.922646672
78.4,330.107293,0.076314741,5.91726259
78.5,330.2828272,0.076321153,5.911885372
78.6,330.4579158,0.076327565,5.906514999
78.7,330.6325863,0.076333978,5.901151454
78.8,330.8068665,0.076340391,5.89579472
78.9,330.9807843,0.076346805,5.89044478
79.0,331.1543673,0.076353219,5.885101616
79.1,331.327643,0.076359634,5.879765212
79.2,331.5006421,0.07636605,5.874435549
79.3,331.6733937,0.076372466,5.869112612
79.4,331.8459197,0.076378883,5.863796383
79.5,332.0182406,0.0763853,5.858486845
79.6,332.1903728,0.076391718,5.853183981
79.7,332.3623174,0.076398136,5.847887776
79.8,332.5340725,0.076404555,5.842598211
79.9,332.7056407,0.076410974,5.83731527
80.0,332.8770242,0.076417394,5.832038938
80.1,333.0482249,0.076423815,5.826769197
80.2,333.2192449,0.076430236,5.82150603
80.3,333.3900861,0.076436658,5.816249422
80.4,333.5607505,0.07644308,5.810999357
80.5,333.7312399,0.076449503,5.805755817
80.6,333.9015565,0.076455927,5.800518786
